industry1,industry2,value
Cultivation of annual crops,Cultivation of annual crops,54478.71714
Cultivation of annual crops,Cultivation of vegetables,31276.46783
Cultivation of annual crops,Cultivation of grapes,638.8900463
Cultivation of annual crops,Cultivation of other fruits,6066.879496
Cultivation of annual crops,Cattle bredding,158210.9957
Cultivation of annual crops,Pigs breeding,856.4402206
Cultivation of annual crops,Chicken breeding,41302.2808
Cultivation of annual crops,Breeding of other animals,11324.87387
Cultivation of annual crops,Farming services,735.700495
Cultivation of annual crops,Forestry,23901.40681
Cultivation of annual crops,Aquaculture,10.74775058
Cultivation of annual crops,Extractive fishing,134.233378
Cultivation of annual crops,Coal mining,0.316755605
Cultivation of annual crops,Crude oil and gas mining,0.824473797
Cultivation of annual crops,Copper mining,581.5455676
Cultivation of annual crops,Iron mining,0.478742811
Cultivation of annual crops,Mining of other metals,1.676547585
Cultivation of annual crops,Other mining activities and mining services,5.369532768
Cultivation of annual crops,Processing and preserving of meat,701.8307146
Cultivation of annual crops,Processing and preserving of fishmeal and fish oil,16.70885368
Cultivation of annual crops,Processing and preserving of fish,252.0573486
Cultivation of annual crops,Processing and preserving of fruits and vegetables,18625.63668
Cultivation of annual crops,Manufacture of vegetable and animal oils,34958.5559
Cultivation of annual crops,Manufacture of dairy products,238.1981415
Cultivation of annual crops,Manufacture of grain mill products,206262.6977
Cultivation of annual crops,Manufacture of prepared animal feeds,168987.2145
Cultivation of annual crops,Manufacture of bakery products,24867.98811
Cultivation of annual crops,Manufacture of macaroni noodles and other related products,11.42775445
Cultivation of annual crops,Manufacture of other food products,61308.46006
Cultivation of annual crops,Distilling rectifying and blending of spirits,52.45993341
Cultivation of annual crops,Manufacture of wines,426.4893349
Cultivation of annual crops,Manufacture of beers,2116.167269
Cultivation of annual crops,Manufacture of soft drinks,319.9970379
Cultivation of annual crops,Manufacture of tobacco products,5496.489524
Cultivation of annual crops,Manufacture of textile products,2200.424443
Cultivation of annual crops,Manufacture of wearing apparel,154.1340878
