industryGroup,VA,P,rx,ry
"Agriculture, forestry and fishing",5805.960386,13287.97591,751,594
Banking and finance,7495.246072,12613.87587,235,633
Business services,16561.30109,24331.72012,396,864
Construction,10498.09541,23814.12036,570,882
Governmental services,7497.93612,10736.60407,280,978
Manufacturing,18605.82162,54431.84294,162,260
Mining,13685.7428,25085.8297,77,205
Personal services,17674.48195,25376.76217,677,470
Real estate and housing,11922.08051,15591.36619,22,360
Transportation and communication,13197.49913,28808.83484,536,683
Utilities,4719.020235,11809.47839,599,11
"Wholesale and retail trade, food and accommodation",18021.17375,35909.21532,159,620
